nombre,correo,web
Colegio San Gabriel – Unidad Educativa – Colegio San Gabriel,contacto@csgabriel.edu.ec,https://www.csgabriel.edu.ec/
Colegio San Gabriel – Unidad Educativa – Colegio San Gabriel,transjovenesdelfuturo@gmail.com,https://www.csgabriel.edu.ec/
Colegio FrancÃ©s | Colegio y escuela particular en Quito Norte,info@colegiofrances.edu.ec,https://colegiofrances.edu.ec/
CONTACTOS – U.E. MARISTA QUITO,secrecolquito@fmsnor.orgTelf,https://quito.maristasecuador.org/contactos/
CONTACTOS – U.E. MARISTA QUITO,secreprimariaq@fmsnor.orgTelf,https://quito.maristasecuador.org/contactos/
"Unidad Educativa Particular ""Julio María Matovelle"""" – EL TALENTO FORMADO EN LA CIENCIA Y EL CARÁCTER EN LA VIRTUD",info@uejuliomariamatovelle-quito.edu.ec,https://uejuliomariamatovelle-quito.edu.ec/
Contacto - Liceo Cristiano de Guayaquil,admision@liceocristiano.edu.ec,https://liceocristiano.edu.ec/contacto/
Contacto – UCSG,vip@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,alonso.veloz@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.arquitectura@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.comercioexterior@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.odontologico@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.farquitectura@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,admisiones@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,e.medicacontinua@gmail.com,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.aprvideosjuegos@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.filosofia@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,educacion.continua@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.veterinaria@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.automatizacion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.salud@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.fisioterapia@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.auditoria@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.agropecuaria@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.electricidad@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.psic-organizacion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.tecnica@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.fee@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.derecho@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.artesyhum@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.artesmusicales@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.animaciondigital@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.enfermeria@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.computacion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.ingenieria@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.psic-clinica@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.economia@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,ventas.educontinua@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.diseinterior@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.comunicacion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.mercadotecnia@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.cine@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.pedagogaidioma@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.diseniografico@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.telecomunicacion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,club.ciencias@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.medicina@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.administracion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.turismo@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.agroindustria@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.negocios@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.comercio@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.civil@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.trabajosocial@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.educacion@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Contacto – UCSG,info.nutridiete@cu.ucsg.edu.ec,https://www.ucsg.edu.ec/contacto/
Federación de Colegios Católicos del Guayas - FEDEC GUAYAS,info@fedecguayas.org.ec,https://fedecguayas.org.ec/
Contacto – SSCC,recepcion@sscc.edu.ec,https://sscc.edu.ec/contacto/
Contacto – SSCC,n@sscc.edu.ec,https://sscc.edu.ec/contacto/
Escuela y Colegio Femenino Espíritu Santo,info@espiritusanto.edu.ec,https://www.espiritusanto.edu.ec/fes/
ConfiguraciÃ³n correo institucional 2025 v.1 – UEP El Despertar,estudiante@eldespertar.edu,https://info.ueeldespertar.edu.ec/2025/05/23/configuracion-correo-institucional-2025-v-1/
ConfiguraciÃ³n correo institucional 2025 v.1 – UEP El Despertar,info@ueeldespertar.edu.ec,https://info.ueeldespertar.edu.ec/2025/05/23/configuracion-correo-institucional-2025-v-1/
ConfiguraciÃ³n correo institucional 2025 v.1 – UEP El Despertar,admin@ueeldespertar.edu.ec,https://info.ueeldespertar.edu.ec/2025/05/23/configuracion-correo-institucional-2025-v-1/
ConfiguraciÃ³n correo institucional 2025 v.1 – UEP El Despertar,tics@ueeldespertar.edu.ec,https://info.ueeldespertar.edu.ec/2025/05/23/configuracion-correo-institucional-2025-v-1/
Consulta Cuenta de Correo Electrónico Institucional Convocatoria 12 – A DISTANCIA – VIRTUAL,bachiller.virtual@educacion.gob.ec,https://adistancia.educacion.gob.ec/consulta-cuenta-de-correo-electronico-convocatoria-12/
Contacto :: Institución Educativa Ricardo Rodríguez,17H01922@gmail.com,https://institucion-educativa-ricardo-rodriguez6.webnode.ec/contacto/
Contacto :: Institución Educativa Ricardo Rodríguez,ricardogestionpedagogica2.0@gmail.com,https://institucion-educativa-ricardo-rodriguez6.webnode.ec/contacto/
UEP El Despertar – GestiÃ³n de InformaciÃ³n Institucional.,info@ueeldespertar.edu.ec,https://info.ueeldespertar.edu.ec/
Buenas prácticas para el uso del Correo Electrónico Institucional | Universidad Nacional de Loja,comunicacion@unl.edu.ec,https://unl.edu.ec/servicios-tecnologicos/buenas-practicas-correo
Buenas prácticas para el uso del Correo Electrónico Institucional | Universidad Nacional de Loja,soporte.dti@unl.edu.ec,https://unl.edu.ec/servicios-tecnologicos/buenas-practicas-correo
"UNIDAD EDUCATIVA ""SAN FRANCISCO""",secretaria@colegiosanfrancisco.edu.ec,https://colegiosanfrancisco.edu.ec/
